cites_id;species_kingdom;species_class;species_family;name;sub_species;scientific_name;cites_status;countries
9862;Animalia;Coelacanthi;Latimeriidae;chalumnae;Latimeria chalumnae;Smith, 1939;I;Comoros,Indonesia,Kenya,Madagascar,Mozambique
68160;Animalia;Cephalopoda;Nautilidae;perforatus;Allonautilus perforatus;Conrad, 1949;II;Indonesia
6349;Animalia;Coelacanthi;Latimeriidae;menadoensis;Latimeria menadoensis;Pouyaud, Wirjoatmodjo, Rachmatika, Tjakrawidjaja, Hadiaty & Hadie 1999;I;Indonesia
68093;Animalia;Cephalopoda;Nautilidae;scrobiculatus;Allonautilus scrobiculatus;Lightfoot, 1786;II;Papua New Guinea
9647;Animalia;Actinopteri;Acipenseridae;baerii;Acipenser baerii;Brandt, 1869;II;China,Kazakhstan,Russian Federation
5777;Animalia;Actinopteri;Acipenseridae;brevirostrum;Acipenser brevirostrum;LeSueur, 1818;I;Canada,United States of America
9725;Animalia;Actinopteri;Acipenseridae;dabryanus;Acipenser dabryanus;Duméril, 1869;II;China
10319;Animalia;Actinopteri;Acipenseridae;fulvescens;Acipenser fulvescens;Rafinesque, 1817;II;Canada,United States of America
3058;Animalia;Actinopteri;Acipenseridae;gueldenstaedtii;Acipenser gueldenstaedtii;Brandt & Ratzeberg, 1833;II;Azerbaijan,Bulgaria,Former Serbia and Montenegro,Georgia,Iran (Islamic Republic of),Kazakhstan,Romania,Russian Federation,Turkey,Turkmenistan,Ukraine
6278;Animalia;Actinopteri;Acipenseridae;medirostris;Acipenser medirostris;Ayres, 1854;II;Canada,Japan,Mexico,United States of America
3708;Animalia;Actinopteri;Acipenseridae;mikadoi;Acipenser mikadoi;Hilgendorf, 1892;II;Japan,Russian Federation
9842;Animalia;Actinopteri;Acipenseridae;naccarii;Acipenser naccarii;Bonaparte, 1836;II;Albania,Croatia,Italy,Slovenia
9266;Animalia;Actinopteri;Acipenseridae;nudiventris;Acipenser nudiventris;Lovetzky, 1828;II;Armenia,Azerbaijan,Bulgaria,Former Serbia and Montenegro,Georgia,Hungary,Iran (Islamic Republic of),Kazakhstan,Republic of Moldova,Romania,Russian Federation,Turkey,Ukraine
6004;Animalia;Actinopteri;Acipenseridae;oxyrinchus;Acipenser oxyrinchus;Mitchill, 1815;II;Bermuda (United Kingdom),Canada,Mexico,United States of America
