cites_id;species_kingdom;species_class;species_family;name;sub_species;scientific_name;cites_status;countries
8742;Animalia;Actinopteri;Acipenseridae;persicus;Acipenser persicus;Borodin, 1897;II;Azerbaijan,Georgia,Iran (Islamic Republic of),Kazakhstan,Russian Federation,Turkey
3304;Animalia;Actinopteri;Acipenseridae;ruthenus;Acipenser ruthenus;Linnaeus, 1758;II;Austria,Azerbaijan,Bosnia and Herzegovina,Bulgaria,Czech Republic,Former Serbia and Montenegro,Georgia,Germany,Hungary,Kazakhstan,Latvia,Lithuania,Republic of Moldova,Romania,Russian Federation,Slovakia,Slovenia,Switzerland,Turkey,Ukraine
7864;Animalia;Actinopteri;Acipenseridae;schrenckii;Acipenser schrenckii;Brandt, 1869;II;China,Mongolia,Russian Federation
3357;Animalia;Actinopteri;Acipenseridae;sinensis;Acipenser sinensis;Gray, 1835;II;China
7624;Animalia;Actinopteri;Acipenseridae;stellatus;Acipenser stellatus;Pallas, 1771;II;Azerbaijan,Bulgaria,Former Serbia and Montenegro,Georgia,Hungary,Iran (Islamic Republic of),Kazakhstan,Montenegro,Republic of Moldova,Romania,Russian Federation,Slovakia,Turkey,Turkmenistan,Ukraine
3464;Animalia;Actinopteri;Acipenseridae;sturio;Acipenser sturio;Linnaeus, 1758;I;Albania,Algeria,Belgium,Bulgaria,Croatia,Estonia,Finland,Former Serbia and Montenegro,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Lithuania,Montenegro,Morocco,Netherlands,Norway,Poland,Portugal,Romania,Russian Federation,Spain,Sweden,The former Yugoslav Republic of Macedonia,Turkey,Ukraine,United Kingdom of Great Britain and Northern Ireland
11164;Animalia;Actinopteri;Acipenseridae;transmontanus;Acipenser transmontanus;Richardson, 1836;II;Canada,United States of America
68185;Animalia;Cephalopoda;Nautilidae;belauensis;Nautilus belauensis;Saunders, 1981;II;Palau
68144;Animalia;Cephalopoda;Nautilidae;macromphalus;Nautilus macromphalus;Sowerby, 1849;II;Australia,New Caledonia
68181;Animalia;Cephalopoda;Nautilidae;pompilius;Nautilus pompilius;Linnaeus, 1758;II;Indonesia,Papua New Guinea
68097;Animalia;Cephalopoda;Nautilidae;repertus;Nautilus repertus;Iredale, 1944;II;Australia
7270;Animalia;Actinopteri;Acipenseridae;dauricus;Huso dauricus;(Georgi, 1775);II;China,Russian Federation
6061;Animalia;Actinopteri;Acipenseridae;huso;Huso huso;(Linnaeus, 1758);II;Azerbaijan,Bulgaria,Former Serbia and Montenegro,Georgia,Iran (Islamic Republic of),Kazakhstan,Republic of Moldova,Romania,Russian Federation,Turkey,Turkmenistan,Ukraine
7373;Animalia;Actinopteri;Acipenseridae;fedtschenkoi;Pseudoscaphirhynchus fedtschenkoi;(Kessler, 1872);II;Kazakhstan,Tajikistan,Uzbekistan
9256;Animalia;Actinopteri;Acipenseridae;hermanni;Pseudoscaphirhynchus hermanni;(Kessler, 1877);II;Afghanistan,Turkmenistan,Uzbekistan
4111;Animalia;Actinopteri;Acipenseridae;kaufmanni;Pseudoscaphirhynchus kaufmanni;(Kessler, 1874);II;Afghanistan,Tajikistan,Turkmenistan,Uzbekistan
10620;Animalia;Actinopteri;Acipenseridae;albus;Scaphirhynchus albus;(Forbes & Richardson, 1905);II;United States of America
10246;Animalia;Actinopteri;Acipenseridae;platorynchus;Scaphirhynchus platorynchus;(Rafinesque, 1820);II;United States of America
3271;Animalia;Actinopteri;Acipenseridae;suttkusi;Scaphirhynchus suttkusi;Williams & Clemmer, 1991;II;United States of America
9765;Animalia;Dipneusti;Neoceratodontidae;forsteri;Neoceratodus forsteri;(Krefft, 1870);II;Australia
8229;Animalia;Actinopteri;Polyodontidae;spathula;Polyodon spathula;(Walbaum in Artedi, 1792);II;United States of America
7523;Animalia;Actinopteri;Polyodontidae;gladius;Psephurus gladius;(Martens, 1862);II;China
3973;Animalia;Actinopteri;Anguillidae;anguilla;Anguilla anguilla;(Linnaeus, 1758);II;Albania,Algeria,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Egypt,Estonia,Faroe Islands,Finland,Former Serbia and Montenegro,France,Georgia,Germany,Gibraltar (United Kingdom),Greece,Hungary,Iceland,Ireland,Isle of Man (United Kingdom),Israel,Italy,Latvia,Lebanon,Libya,Lithuania,Malta,Mauritania,Monaco,Montenegro,Morocco,Netherlands,Norway,Poland,Portugal,Republic of Moldova,Romania,Russian Federation,Serbia,Slovenia,Spain,Sweden,Switzerland,Syrian Arab Republic,Tunisia,Turkey,Ukraine,United Kingdom of Great Britain and Northern Ireland,Western Sahara
9311;Animalia;Actinopteri;Catostomidae;cujus;Chasmistes cujus;Cope, 1883;I;United States of America
7292;Animalia;Actinopteri;Cyprinidae;geertsii;Caecobarbus geertsii;Boulenger, 1921;II;Congo,Democratic Republic of the Congo
10586;Animalia;Actinopteri;Cyprinidae;jullieni;Probarbus jullieni;Sauvage, 1880;I;Cambodia,Lao People's Democratic Republic,Malaysia,Thailand,Viet Nam
7323;Animalia;Actinopteri;Arapaimidae;gigas;Arapaima gigas;(Cuvier, 1829);II;Brazil,Colombia,Ecuador,Guyana,Peru
6338;Animalia;Actinopteri;Osteoglossidae;formosus;Scleropages formosus;(Müller & Schlegel, 1844);I;Cambodia,Indonesia,Malaysia,Thailand,Viet Nam
34573;Animalia;Actinopteri;Osteoglossidae;inscriptus;Scleropages inscriptus;Roberts, 2012;I;Myanmar
10242;Animalia;Actinopteri;Labridae;undulatus;Cheilinus undulatus;Rüppell, 1835;II;American Samoa,Australia,British Indian Ocean Territory (United Kingdom),China,Christmas Island,Cocos (Keeling) Islands,Cook Islands,Djibouti,Egypt,Eritrea,Fiji,French Polynesia,Guam,Hong Kong, SAR,India,Indonesia,Israel,Japan,Kiribati,Madagascar,Malaysia,Maldives,Marshall Islands,Micronesia (Federated States of),Mozambique,Myanmar,New Caledonia,Niue,Northern Mariana Islands,Palau,Papua New Guinea,Philippines,Pitcairn Islands (United Kingdom),Samoa,Saudi Arabia,Seychelles,Solomon Islands,Somalia,Sri Lanka,Sudan,Taiwan, Province of China,Thailand,Tokelau,Tonga,United Republic of Tanzania,United States Minor Outlying Islands,Vanuatu,Viet Nam
67999;Animalia;Actinopteri;Pomacanthidae;clarionensis;Holacanthus clarionensis;Gilbert, 1890;II;
9147;Animalia;Actinopteri;Sciaenidae;macdonaldi;Totoaba macdonaldi;(Gilbert, 1890);I;Mexico
68475;Animalia;Actinopteri;Loricariidae;zebra;Hypancistrus zebra;;III;
5186;Animalia;Actinopteri;Pangasiidae;gigas;Pangasianodon gigas;Chevey, 1931;I;Cambodia,Lao People's Democratic Republic,Thailand,Viet Nam
6480;Animalia;Actinopteri;Syngnathidae;abdominalis;Hippocampus abdominalis;Lesson, 1827;II;Australia,New Zealand
5857;Animalia;Actinopteri;Syngnathidae;alatus;Hippocampus alatus;Kuiter, 2001;II;Australia,Papua New Guinea
3583;Animalia;Actinopteri;Syngnathidae;algiricus;Hippocampus algiricus;Kaup, 1856;II;Angola,Benin,Cabo Verde,Cameroon,Congo,Côte d'Ivoire,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Gambia,Ghana,Guinea,Guinea Bissau,Liberia,Mauritania,Nigeria,Sao Tome and Principe,Senegal,Sierra Leone,Spain,Togo,Western Sahara
8755;Animalia;Actinopteri;Syngnathidae;angustus;Hippocampus angustus;Günther, 1870;II;Australia
8272;Animalia;Actinopteri;Syngnathidae;barbouri;Hippocampus barbouri;Jordan & Richardson, 1908;II;Indonesia,Malaysia,Philippines,Thailand
9898;Animalia;Actinopteri;Syngnathidae;bargibanti;Hippocampus bargibanti;Whitley, 1970;II;Australia,Indonesia,Japan,Malaysia,New Caledonia,Palau,Papua New Guinea,Philippines,Solomon Islands,Vanuatu
10102;Animalia;Actinopteri;Syngnathidae;borboniensis;Hippocampus borboniensis;Duméril, 1870;II;Comoros,Madagascar,Mauritius,Mozambique,Réunion,South Africa,United Republic of Tanzania
8864;Animalia;Actinopteri;Syngnathidae;breviceps;Hippocampus breviceps;Peters, 1869;II;Australia
10467;Animalia;Actinopteri;Syngnathidae;camelopardalis;Hippocampus camelopardalis;Bianconi, 1854;II;Madagascar,Mozambique,South Africa,United Republic of Tanzania
4076;Animalia;Actinopteri;Syngnathidae;capensis;Hippocampus capensis;Boulenger, 1900;II;South Africa
3159;Animalia;Actinopteri;Syngnathidae;colemani;Hippocampus colemani;Kuiter, 2003;II;Australia
5175;Animalia;Actinopteri;Syngnathidae;comes;Hippocampus comes;Cantor, 1849;II;India,Indonesia,Malaysia,Philippines,Singapore,Thailand,Viet Nam
10266;Animalia;Actinopteri;Syngnathidae;coronatus;Hippocampus coronatus;Temminck & Schlegel, 1850;II;Japan,Republic of Korea
33368;Animalia;Actinopteri;Syngnathidae;dahli;Hippocampus dahli;Ogilby, 1908;II;
10770;Animalia;Actinopteri;Syngnathidae;debelius;Hippocampus debelius;Gomon & Kuiter, 2009;II;Egypt
6494;Animalia;Actinopteri;Syngnathidae;denise;Hippocampus denise;Lourie & Randall, 2003;II;Australia,Indonesia,Malaysia,Marshall Islands,Micronesia (Federated States of),Palau,Papua New Guinea,Philippines,Solomon Islands,Vanuatu
6834;Animalia;Actinopteri;Syngnathidae;erectus;Hippocampus erectus;Perry, 1810;II;American Samoa,Anguilla (United Kingdom),Antigua and Barbuda,Aruba,Bahamas,Barbados,Belize,Bermuda (United Kingdom),Brazil,British Virgin Islands (United Kingdom),Cabo Verde,Canada,Cayman Islands (United Kingdom),Colombia,Costa Rica,Cuba,Curaçao,Dominica,Dominican Republic,French Guiana [FR],Grenada,Guadeloupe,Guatemala,Guyana,Haiti,Honduras,Jamaica,Martinique,Mexico,Montserrat (United Kingdom),Netherlands Antilles,New Caledonia,Nicaragua,Panama,Puerto Rico,Réunion,Saint Helena and Dependencies (United Kingdom),Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Suriname,Trinidad and Tobago,Turks and Caicos Islands (United Kingdom),United States of America,Uruguay,Venezuela (Bolivarian Republic of),Virgin Islands of the USA
7089;Animalia;Actinopteri;Syngnathidae;fisheri;Hippocampus fisheri;Jordan & Evermann, 1903;II;United States of America
9336;Animalia;Actinopteri;Syngnathidae;fuscus;Hippocampus fuscus;Rüppell, 1838;II;Djibouti,India,Saudi Arabia,Sri Lanka,Turkey
3658;Animalia;Actinopteri;Syngnathidae;grandiceps;Hippocampus grandiceps;Kuiter, 2001;II;Australia
6993;Animalia;Actinopteri;Syngnathidae;guttulatus;Hippocampus guttulatus;Cuvier, 1829;II;Bulgaria,Croatia,Cyprus,France,Georgia,Germany,Gibraltar (United Kingdom),Greece,Ireland,Isle of Man (United Kingdom),Italy,Malta,Montenegro,Morocco,Netherlands,Portugal,Romania,Russian Federation,Slovenia,Spain,Ukraine,United Kingdom of Great Britain and Northern Ireland
10041;Animalia;Actinopteri;Syngnathidae;hendriki;Hippocampus hendriki;Kuiter, 2001;II;Australia
8825;Animalia;Actinopteri;Syngnathidae;hippocampus;Hippocampus hippocampus;(Linnaeus, 1758);II;Albania,Algeria,Bulgaria,Côte d'Ivoire,Croatia,Equatorial Guinea,France,Gambia,Georgia,Germany,Ghana,Gibraltar (United Kingdom),Greece,Guinea,Guinea Bissau,Italy,Liberia,Malta,Montenegro,Netherlands,Nigeria,Portugal,Russian Federation,Senegal,Sierra Leone,Slovenia,Spain,Togo,Turkey,Ukraine,United Kingdom of Great Britain and Northern Ireland,Western Sahara
11016;Animalia;Actinopteri;Syngnathidae;histrix;Hippocampus histrix;Kaup, 1856;II;Australia,China,Egypt,France,French Polynesia,Guam,India,Indonesia,Japan,Malaysia,Mauritius,Micronesia (Federated States of),Mozambique,New Caledonia,Palau,Papua New Guinea,Philippines,Republic of Korea,Réunion,Samoa,Seychelles,South Africa,Taiwan, Province of China,Thailand,Tonga,United Republic of Tanzania,United States of America,Viet Nam
7487;Animalia;Actinopteri;Syngnathidae;ingens;Hippocampus ingens;Girard, 1858;II;Chile,Colombia,Costa Rica,Ecuador,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Peru,United States of America
9194;Animalia;Actinopteri;Syngnathidae;jayakari;Hippocampus jayakari;Boulenger, 1900;II;Israel,Oman,Pakistan
5119;Animalia;Actinopteri;Syngnathidae;jugumus;Hippocampus jugumus;Kuiter, 2001;II;Australia
4719;Animalia;Actinopteri;Syngnathidae;kelloggi;Hippocampus kelloggi;Jordan & Snyder, 1901;II;Australia,China,Egypt,Hong Kong, SAR,India,Indonesia,Japan,Malaysia,New Caledonia,Oman,Pakistan,Papua New Guinea,Philippines,Taiwan, Province of China,Thailand,United Republic of Tanzania,Viet Nam
10660;Animalia;Actinopteri;Syngnathidae;kuda;Hippocampus kuda;Bleeker, 1852;II;Australia,Bahrain,Cambodia,China,Comoros,Cyprus,Djibouti,Egypt,Eritrea,Fiji,French Polynesia,Hong Kong, SAR,India,Indonesia,Iran (Islamic Republic of),Israel,Japan,Kenya,Kuwait,Lebanon,Madagascar,Malaysia,Maldives,Mauritius,Micronesia (Federated States of),Mozambique,New Caledonia,Oman,Pakistan,Papua New Guinea,Philippines,Qatar,Republic of Korea,Réunion,Saudi Arabia,Seychelles,Singapore,Solomon Islands,Somalia,South Africa,Sri Lanka,Sudan,Syrian Arab Republic,Taiwan, Province of China,Thailand,Tonga,Turkey,United Arab Emirates,United Republic of Tanzania,United States of America,Viet Nam
9610;Animalia;Actinopteri;Syngnathidae;lichtensteinii;Hippocampus lichtensteinii;Kaup, 1856;II;Djibouti,Egypt,Eritrea,Israel,Saudi Arabia,Somalia,Sudan,Yemen
9216;Animalia;Actinopteri;Syngnathidae;minotaur;Hippocampus minotaur;Gomon, 1997;II;Australia
3414;Animalia;Actinopteri;Syngnathidae;mohnikei;Hippocampus mohnikei;Bleeker, 1854;II;Cambodia,China,India,Japan,Malaysia,Republic of Korea,Singapore,Taiwan, Province of China,Thailand,Viet Nam
5082;Animalia;Actinopteri;Syngnathidae;montebelloensis;Hippocampus montebelloensis;Kuiter, 2001;II;Australia
10900;Animalia;Actinopteri;Syngnathidae;multispinus;Hippocampus multispinus;Kuiter, 2001;II;Australia
55869;Animalia;Actinopteri;Syngnathidae;paradoxus;Hippocampus paradoxus;Foster & Gomon, 2010 ;II;Australia
7593;Animalia;Actinopteri;Syngnathidae;patagonicus;Hippocampus patagonicus;Piacentino & Luzzatto, 2004;II;Argentina,Brazil,Uruguay
30981;Animalia;Actinopteri;Syngnathidae;planifrons;Hippocampus planifrons;Peters, 1877;II;Australia
55870;Animalia;Actinopteri;Syngnathidae;pontohi;Hippocampus pontohi;Lourie & Kuiter, 2008 ;II;Indonesia
7023;Animalia;Actinopteri;Syngnathidae;procerus;Hippocampus procerus;Kuiter, 2001;II;Australia
6154;Animalia;Actinopteri;Syngnathidae;queenslandicus;Hippocampus queenslandicus;Horne, 2001;II;Australia
5994;Animalia;Actinopteri;Syngnathidae;reidi;Hippocampus reidi;Ginsburg, 1933;II;Anguilla (United Kingdom),Aruba,Bahamas,Barbados,Belize,Bermuda (United Kingdom),Brazil,British Virgin Islands (United Kingdom),Cayman Islands (United Kingdom),Colombia,Cuba,French Guiana [FR],Grenada,Guadeloupe,Haiti,Honduras,Jamaica,Martinique,Mexico,Montserrat (United Kingdom),Netherlands Antilles,Nicaragua,Panama,Puerto Rico,Saint Lucia,Suriname,Trinidad and Tobago,Turks and Caicos Islands (United Kingdom),United States of America,Uruguay,Venezuela (Bolivarian Republic of),Virgin Islands of the USA
55871;Animalia;Actinopteri;Syngnathidae;satomiae;Hippocampus satomiae;Lourie & Kuiter, 2008 ;II;Brunei Darussalam,Indonesia,Malaysia
7517;Animalia;Actinopteri;Syngnathidae;semispinosus;Hippocampus semispinosus;Kuiter, 2001;II;Indonesia
55872;Animalia;Actinopteri;Syngnathidae;severnsi;Hippocampus severnsi;Lourie & Kuiter, 2008;II;Fiji,Indonesia,Japan,Papua New Guinea,Solomon Islands
5672;Animalia;Actinopteri;Syngnathidae;sindonis;Hippocampus sindonis;Jordan & Snyder, 1901;II;Japan,Republic of Korea
11111;Animalia;Actinopteri;Syngnathidae;spinosissimus;Hippocampus spinosissimus;Weber, 1913;II;Australia,Cambodia,India,Indonesia,Malaysia,Myanmar,Philippines,Singapore,Sri Lanka,Taiwan, Province of China,Thailand,Viet Nam
8601;Animalia;Actinopteri;Syngnathidae;subelongatus;Hippocampus subelongatus;Castelnau, 1873;II;Australia
3732;Animalia;Actinopteri;Syngnathidae;trimaculatus;Hippocampus trimaculatus;Leach, 1814;II;Cambodia,China,France,French Polynesia,Hong Kong, SAR,India,Indonesia,Japan,Malaysia,Myanmar,Philippines,Singapore,Taiwan, Province of China,Thailand,Viet Nam
55873;Animalia;Actinopteri;Syngnathidae;tyro;Hippocampus tyro;Randall & Lourie, 2009;II;Seychelles
7040;Animalia;Actinopteri;Syngnathidae;waleananus;Hippocampus waleananus;Gomon & Kuiter, 2009;II;Indonesia
7855;Animalia;Actinopteri;Syngnathidae;whitei;Hippocampus whitei;Bleeker, 1855;II;Australia,Solomon Islands
8224;Animalia;Actinopteri;Syngnathidae;zebra;Hippocampus zebra;Whitley, 1964;II;Australia,Papua New Guinea
5516;Animalia;Actinopteri;Syngnathidae;zosterae;Hippocampus zosterae;Jordan & Gilbert, 1882;II;Bahamas,Belize,Bermuda (United Kingdom),Cuba,Mexico,United States of America
5062;Animalia;Mammalia;Antilocapridae;americana;Antilocapra americana;(Ord, 1815);I;Canada,Mexico,United States of America
4464;Animalia;Mammalia;Bovidae;nasomaculatus;Addax nasomaculatus;(de Blainville, 1816);I;Chad,Mali,Mauritania,Niger,Sudan
3905;Animalia;Mammalia;Bovidae;lervia;Ammotragus lervia;(Pallas, 1777);II;Algeria,Chad,Egypt,Libya,Mali,Mauritania,Morocco,Niger,Sudan,Tunisia
4985;Animalia;Mammalia;Bovidae;cervicapra;Antilope cervicapra;(Linnaeus, 1758);III;India,Nepal
5874;Animalia;Mammalia;Bovidae;gaurus;Bos gaurus;C. H. Smith, 1827;I;Bangladesh,Bhutan,Cambodia,China,India,Lao People's Democratic Republic,Malaysia,Myanmar,Nepal,Thailand,Viet Nam
7471;Animalia;Mammalia;Bovidae;mutus;Bos mutus;Przewalski, 1883;I;China,India,Nepal
11180;Animalia;Mammalia;Bovidae;sauveli;Bos sauveli;Urbain, 1937;I;Cambodia,Lao People's Democratic Republic,Thailand,Viet Nam
65574;Animalia;Mammalia;Bovidae;tragocamelus;Boselaphus tragocamelus;(Pallas, 1766);III;India,Nepal,Pakistan
6811;Animalia;Mammalia;Bovidae;arnee;Bubalus arnee;(Kerr, 1792);III;Bhutan,Cambodia,India,Myanmar,Nepal,Sri Lanka,Thailand,Viet Nam
4425;Animalia;Mammalia;Bovidae;depressicornis;Bubalus depressicornis;(C. H. Smith, 1827);I;Indonesia
8124;Animalia;Mammalia;Bovidae;mindorensis;Bubalus mindorensis;(Heude, 1888);I;Philippines
10958;Animalia;Mammalia;Bovidae;quarlesi;Bubalus quarlesi;(Ouwens, 1910);I;Indonesia
3135;Animalia;Mammalia;Bovidae;taxicolor;Budorcas taxicolor;Hodgson, 1850;II;Bhutan,China,India,Myanmar
67978;Animalia;Mammalia;Bovidae;caucasica;Capra caucasica;Güldenstaedt & Pallas, 1783;II;Georgia,Russian Federation
3780;Animalia;Mammalia;Bovidae;falconeri;Capra falconeri;(Wagner, 1839);I;Afghanistan,India,Pakistan,Tajikistan,Turkmenistan,Uzbekistan
65582;Animalia;Mammalia;Bovidae;hircus;aegagrus;Capra hircus aegagrus;SUBSPECIES;AF,AM,AZ,GE,IR,IQ,PK,RU,TR,TM,US
65566;Animalia;Mammalia;Bovidae;sibirica;Capra sibirica;;III;Afghanistan,China,India,Kazakhstan,Kyrgyzstan,Mongolia,Pakistan,Russian Federation,Tajikistan
3881;Animalia;Mammalia;Bovidae;milneedwardsii;Capricornis milneedwardsii;David, 1869;I;Cambodia,China,Lao People's Democratic Republic,Myanmar,Thailand,Viet Nam
3939;Animalia;Mammalia;Bovidae;rubidus;Capricornis rubidus;Blyth, 1863;I;Myanmar
7979;Animalia;Mammalia;Bovidae;sumatraensis;Capricornis sumatraensis;(Bechstein, 1799);I;Indonesia,Malaysia,Thailand
10594;Animalia;Mammalia;Bovidae;thar;Capricornis thar;(Hodgson, 1831);I;Bangladesh,Bhutan,India,Nepal
8418;Animalia;Mammalia;Bovidae;brookei;Cephalophus brookei;Thomas, 1903;II;Côte d'Ivoire,Ghana,Liberia,Sierra Leone
4497;Animalia;Mammalia;Bovidae;dorsalis;Cephalophus dorsalis;Gray, 1846;II;Angola,Burkina Faso,Cameroon,Central African Republic,Congo,Côte d'Ivoire,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Ghana,Guinea,Guinea Bissau,Liberia,Nigeria,Sierra Leone,Togo
4194;Animalia;Mammalia;Bovidae;jentinki;Cephalophus jentinki;Thomas, 1892;I;Côte d'Ivoire,Liberia,Sierra Leone
8002;Animalia;Mammalia;Bovidae;ogilbyi;Cephalophus ogilbyi;(Waterhouse, 1838);II;Cameroon,Equatorial Guinea,Gabon,Liberia,Nigeria,Sierra Leone
10119;Animalia;Mammalia;Bovidae;silvicultor;Cephalophus silvicultor;(Afzelius, 1815);II;Angola,Benin,Burkina Faso,Burundi,Cameroon,Central African Republic,Chad,Congo,Côte d'Ivoire,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Ghana,Guinea,Guinea Bissau,Kenya,Liberia,Nigeria,Senegal,Sierra Leone,South Sudan,Togo,Uganda,Zambia
7092;Animalia;Mammalia;Bovidae;zebra;Cephalophus zebra;Gray, 1838;II;Côte d'Ivoire,Liberia,Sierra Leone
12162;Animalia;Mammalia;Bovidae;pygargus;pygargus;Damaliscus pygargus pygargus;SUBSPECIES;ZA
65567;Animalia;Mammalia;Bovidae;bennettii;Gazella bennettii;;III;Afghanistan,India,Iran (Islamic Republic of),Pakistan
3080;Animalia;Mammalia;Bovidae;cuvieri;Gazella cuvieri;(Ogilby, 1841);I;Algeria,Morocco,Tunisia,Western Sahara
5673;Animalia;Mammalia;Bovidae;dorcas;Gazella dorcas;(Linnaeus, 1758);III;Algeria,Burkina Faso,Chad,Djibouti,Egypt,Eritrea,Ethiopia,Israel,Jordan,Libya,Mali,Mauritania,Morocco,Niger,Somalia,Sudan,Tunisia,Western Sahara
9611;Animalia;Mammalia;Bovidae;leptoceros;Gazella leptoceros;(F. Cuvier, 1842);I;Algeria,Chad,Egypt,Libya,Mali,Niger,Sudan,Tunisia
12301;Animalia;Mammalia;Bovidae;niger;variani;Hippotragus niger variani;SUBSPECIES;AO,ZM
4050;Animalia;Mammalia;Bovidae;leche;Kobus leche;Gray, 1850;II;Angola,Botswana,Democratic Republic of the Congo,Namibia,Zambia
4344;Animalia;Mammalia;Bovidae;baileyi;Naemorhedus baileyi;Pocock, 1914;I;China,India,Myanmar
7159;Animalia;Mammalia;Bovidae;caudatus;Naemorhedus caudatus;(Milne-Edwards, 1867);I;China,Democratic People's Republic of Korea,Republic of Korea,Russian Federation
9378;Animalia;Mammalia;Bovidae;goral;Naemorhedus goral;(Hardwicke, 1825);I;Bhutan,China,India,Nepal,Pakistan
6231;Animalia;Mammalia;Bovidae;griseus;Naemorhedus griseus;(Milne Edwards, 1871);I;China,India,Myanmar,Thailand,Viet Nam
10002;Animalia;Mammalia;Bovidae;dama;Nanger dama;(Pallas, 1766);I;Algeria,Chad,Egypt,Mali,Morocco,Niger
11205;Animalia;Mammalia;Bovidae;dammah;Oryx dammah;(Cretzschmar, 1827);I;Morocco,Tunisia
4154;Animalia;Mammalia;Bovidae;leucoryx;Oryx leucoryx;(Pallas, 1777);I;Bahrain,Lebanon,Qatar
7093;Animalia;Mammalia;Bovidae;ammon;Ovis ammon;(Linnaeus, 1758);II;Afghanistan,China,India,Kazakhstan,Kyrgyzstan,Mongolia,Nepal,Pakistan,Russian Federation,Tajikistan,Uzbekistan
12287;Animalia;Mammalia;Bovidae;ammon;hodgsonii;Ovis ammon hodgsonii;SUBSPECIES;BT,CN,IN,NP
12262;Animalia;Mammalia;Bovidae;ammon;nigrimontana;Ovis ammon nigrimontana;SUBSPECIES;KZ
3465;Animalia;Mammalia;Bovidae;aries;Ovis aries;Linnaeus, 1758;II;Afghanistan,Armenia,Azerbaijan,Cyprus,Former Serbia and Montenegro,France,India,Iran (Islamic Republic of),Italy,Kazakhstan,Pakistan,Russian Federation,Tajikistan,Turkey,Turkmenistan,Uzbekistan
68428;Animalia;Mammalia;Bovidae;aries;ophion;Ovis aries ophion;SUBSPECIES;CY
68429;Animalia;Mammalia;Bovidae;aries;vignei;Ovis aries vignei;SUBSPECIES;IN,PK
3036;Animalia;Mammalia;Bovidae;canadensis;Ovis canadensis;Shaw, 1804;II;Canada,Mexico,United States of America
8117;Animalia;Mammalia;Bovidae;hodgsonii;Pantholops hodgsonii;(Abel, 1826);I;China,India,Nepal
9997;Animalia;Mammalia;Bovidae;monticola;Philantomba monticola;(Thunberg, 1789);II;Angola,Benin,Burundi,Cameroon,Central African Republic,Congo,Côte d'Ivoire,Democratic Republic of the Congo,Equatorial Guinea,Ethiopia,Gabon,Kenya,Malawi,Mozambique,Nigeria,Rwanda,Sierra Leone,South Africa,South Sudan,Sudan [prior to secession of South Sudan],Uganda,United Republic of Tanzania,Zambia,Zimbabwe
