category;written_infraction;infraction;sanctions;min_fine;max_fine;penal_servitude;other_penalties;flegt
Abandon de bois;;"Art. 42 point 5 arrêté interministériel 035/2006 (valable de 2006-2015); Article 64 point 6 de l'arrêté 084/2016 portant conditions et règles d'exploitation de bois d'oeuvre (valable depuis octobre 2016)"")";143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Abandon de bois; Il est interdit d’abandonner sur le parterre de la coupe des arbres sur pied ou des grumes ayant une valeur marchande compte tenu des conditions économiques de la région.;Art 46. ARRETE MINISTERIEL N°CAB/MIN/AF.F-E.T/263/2002 DU 03 OCTOBRE 2002 PORTANT MESURES RELATIVES A L’EXPLOITATION FORESTIERE;;;;;;NA
Blanchiment de bois;;;;;;;;NA
Consultation insuffisante des populations locales / autochtones;;"Art. 89 du CF; Art 4 de l'arrêté 084/2016 portant conditions et règles d'exploitation de bois d'oeuvre";;;;;;NA
Coupe d'essence non autorisée;;"Art. 65 de l'arrêté 050 au point 5 (Valable depuis 2015)-Art. 97 du code forestier,  Art 1 de l'arrêté 0011/2007 (abrogé); Article 64 point 5 de l'arrêté 084/2016 portant conditions et règles d'exploitation de bois d'oeuvre (valable depuis octobre 2016)";143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Coupe dans une aire protégée, domaine forestier national;;Art. 38 du CF-Article 64 point 7 de l'arrêté 084/2016 portant conditions et règles d'exploitation de bois d'oeuvre;;;;;;NA
Coupe en dehors des limites;Exploitation forestière en violation de la loi et de ses mesures d’exécution;"Art. 65 de l’arrêté 050/2015 point 1 (Valable depuis 2015); Art 42 de l'arrêté 035/2016 (Valable jusqu'en 2015)-Article 64 point 1 de l'arrêté 084/2016 portant conditions et règles d'exploitation de bois d'oeuvre -valable depuis octobre 2016)";143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Coupe sous-diamètre;;Art. 65 de l’arrêté 050/2015 point 1 (Valable depuis 2015)-Art 42 de l'arrêté 035/2016 (Valable jusqu'en 2015);143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Déboisement sans autorisation;;;144 Code Forestier;100;500;5 mois - 3 ans;;NA
Défaut de marquage sur les billes, les culées et les souches;;Art.s 6, 68 l’arrêté ministériel N°050/2015 (valable depuis septembre 2015)-article 48, 49 arrêté 035/2006 (abrogé en 2015)-Article 66 de l'arrêté 084/2016 portant conditions et règles d'exploitation de bois d'oeuvre -valable depuis octobre 2016);143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Défaut de matérialisation des limites de coupe annuelle;;Art. 5 alinéa  4 de l' arrêté interministériel 011/2007 (abrogé en 2015) -Art. 15 de l’Arrêté n° 036/2006 du 05 octobre 2006 (abrogé en 2015)-Art 14 de l'arrêté 034/2015 (valable depuis juillet 2015)-Art 13 arrêté 028/2008 fixant les modèles de contrat de concession forestière, Article 58 de l'arrêté 084/2016 portant conditions et règles d'exploitation de bois d'oeuvre -valable depuis octobre 2016);143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Défaut de paiement des amendes;;Art 138 du code forestier-Art 7 de l'arrêté 104/2009 fixant les procédures de transaction en matière forestière;143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Défaut de paiement des taxes forestières;;"Art. 122 code forestier (superficie); Art. 120 code forestier (abattage, installation); Art.s 1, 2 et 3 de l’arrêté interministériel n° 002/2013 et n° 924/2013 du 05/8/2013 portant fixation des taux, des droits et taxes en matière d’installation classée; Art. 1 Arrête interministériel n° 003 3/MIN/ECN-T/2010 et N° 029 CAB/MIN/FINANCES/2010";143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
Défaut de paiement des taxes forestières;Le paiement des taxes et redevances en dehors des délais  ;;143 Code Forestier;20;100;3 mois - 2 ans;Suspectioin ou retrait du permis du coupe possible;NA
