country;operator;type;id
Congo;LIKOUALA TIMBER;Logging company;CG/UNKNOWN/0013
Congo;LOWON Congo;Logging company;
Congo;MOKABI SA;Logging company;CG/IMP/03B001
Congo;OSSA Richard;Logging company;
Congo;SADEF-CONGO;Logging company;CG/UNKNOWN/0014
Congo;SEFYD;Logging company;CG/BZV/07B428
Congo;SETRAF;Logging company;
Congo;SFIB;Logging company;CG/UNKNOWN/0015
Congo;SICOFOR;Logging company;CG/PNR/10B1907
Congo;SIFCO;Logging company;CG/BZV/04B2198
Congo;SIPAM;Logging company;CG/UNKNOWN/0016
Congo;Société Groupe EKASI-BONGO;Logging company;
Congo;SOFIA;Logging company;CG/UNKNOWN/0017
Congo;SOFIL;Logging company;CG/UNKNOWN/0018
Congo;SPIEX;Logging company;CG/UNKNOWN/0019
Congo;TAMAN INDUSTRIE;Logging company;CG/UNKNOWN/0020
Congo;THANRY-CONGO;Logging company;CG/BZV/11B2841
Congo;TRABEC;Logging company;
Congo;WANG SAM COMPAGNY;Logging company;CG/UNKNOWN/0021
Congo;Wang Sam Ressources and Trading Company Congo (WSR);Logging company;
Congo;YOKA René;Logging company;
Congo;Agil Congo;Mining company;
Congo;Million Well Holding;Mining company;
Congo;Charles Omboumahou;Unknown;
Democratic Republic of Congo;KAYEMBE KEYIMBI André;Artisanal;
Democratic Republic of Congo;KULUTUNI LUBAMBA Georges;Artisanal;
Democratic Republic of Congo;Monsieur IYEKO KU MU Donat;Artisanal;
Democratic Republic of Congo;Monsieur WASHIDO Dieudonné;Artisanal;
Democratic Republic of Congo;MWA MBILWA NKALA Jean Paul;Artisanal;
Democratic Republic of Congo;NGOY ISAMO Auguy;Artisanal;
Democratic Republic of Congo;TSHIMBI ESEKO André;Artisanal;
Democratic Republic of Congo;BAKRI BOIS CORPORATION;Logging company;DRC/UNKNOWN/0001
Democratic Republic of Congo;BEGO CONGO;Logging company;DRC/UNKNOWN/0002
Democratic Republic of Congo;CFE (ex. SICOBOIS);Logging company;DRC/UNKNOWN/0003
Democratic Republic of Congo;CFT;Logging company;DRC/UNKNOWN/0004
Democratic Republic of Congo;COMPAGNIE DES BOIS;Logging company;DRC/UNKNOWN/0005
Democratic Republic of Congo;COTREFOR;Logging company;DRC/UNKNOWN/0006
Democratic Republic of Congo;ENRA;Logging company;DRC/UNKNOWN/0007
Democratic Republic of Congo;FORABOLA;Logging company;DRC/UNKNOWN/0008
Democratic Republic of Congo;ITB;Logging company;DRC/UNKNOWN/0009
Democratic Republic of Congo;LA FORESTIERE;Logging company;DRC/UNKNOWN/0010
Democratic Republic of Congo;LA FORESTIERE DU LAC;Logging company;DRC/UNKNOWN/0011
Democratic Republic of Congo;LOKOTA DEWELE Robert;Logging company;
Democratic Republic of Congo;MAISON NBK SERVICE;Logging company;DRC/UNKNOWN/0012
Democratic Republic of Congo;MEGA BOIS;Logging company;DRC/UNKNOWN/0013
Democratic Republic of Congo;MOTEMA;Logging company;DRC/UNKNOWN/0014
Democratic Republic of Congo;NBK Services;Logging company;
Democratic Republic of Congo;RIBA CONGO;Logging company;DRC/UNKNOWN/0015
Democratic Republic of Congo;SAFO;Logging company;DRC/UNKNOWN/0016
Democratic Republic of Congo;SCIBOIS;Logging company;DRC/UNKNOWN/0017
Democratic Republic of Congo;SCTP;Logging company;DRC/UNKNOWN/0018
Democratic Republic of Congo;SEDAF;Logging company;
Democratic Republic of Congo;SEFOCO;Logging company;DRC/UNKNOWN/0019
Democratic Republic of Congo;SICOBOIS;Logging company;DRC/UNKNOWN/0020
Democratic Republic of Congo;SIFORCO;Logging company;DRC/UNKNOWN/0021
Democratic Republic of Congo;SODEFOR;Logging company;DRC/UNKNOWN/0022
Democratic Republic of Congo;SOMICONGO;Logging company;DRC/UNKNOWN/0023
Democratic Republic of Congo;TALA TINA;Logging company;DRC/UNKNOWN/0024
Gabon;Madame Marie-Gisèle ANDEME;Artisanal;
Gabon;Monsieur Aimé-Placide SERGENT;Artisanal;
Gabon;Monsieur Bertin ELAP KAMGA;Artisanal;
Gabon;Monsieur Emmanuel NZE ANGWE;Artisanal;
Gabon;Monsieur Ferdinand MOUKELA;Artisanal;
Gabon;Monsieur Gauthier OBIANG ESSONO;Artisanal;
Gabon;Monsieur Honoré KENGNE;Artisanal;
Gabon;Monsieur Jean-Serge Aboubakar Lengouma;Artisanal;
Gabon;Monsieur Joseph NFONCHA;Artisanal;
Gabon;Monsieur YANG CHOLUN;Artisanal;
Gabon;BAYONNE;Logging company;
Gabon;Bois et Scierie de l'Ogooue;Logging company;
Gabon;Bois et Scierie de l'Ogooue Mitzic-Nord;Logging company;
Gabon;BOKOUE LOBE;Logging company;
Gabon;BONUS HARVEST/CIPLAC;Logging company;
Gabon;BORDAMUR TOUJOURS VERT;Logging company;
Gabon;Bordamur/Toujours Vert;Logging company;
Gabon;BSO Ogooue Mitzic;Logging company;
Gabon;BSO Ogooue Ndjole;Logging company;
Gabon;CBG Gamba;Logging company;
Gabon;CBG Mandji;Logging company;
Gabon;CFA/DLH;Logging company;
Gabon;CIFHO Leke;Logging company;
Gabon;CIFHO Moyabi;Logging company;
Gabon;Compagnie Africaine d'Exploitation du Bois;Logging company;
Gabon;COMPAGNIE DES BOIS DU GABON;Logging company;
Gabon;COMPAGNIE FORESTIERE DES ABEILLES;Logging company;
Gabon;Compagnie Forestiere du Haut Ogooue;Logging company;
Gabon;CORA Wood;Logging company;
Gabon;CORA WOOD - UFA 3;Logging company;
Gabon;CORA WOOD GABON;Logging company;
Gabon;CORA Wood LASSIO;Logging company;
