operator,fmu
Agropecuária Vitória Régia SA,671/2009 Logging Authorisation (AUTEF)
Estate of Violeta Elizabeth Hagmann ,1515/2010 Logging Authorisation (AUTEF)
Rainbow Trading Importação e Exportação LTDA,Santarém municipality
Tecniflora Ltd,Marituba estate - 2281/2012 Logging Authorisation (AUTEF)
Virola-Jatobá Sustainable Development Project (sub-contract with Vitória Régia Exportadora and Bortolanza),633/2009 Logging Authorisation (AUTEF)
Try Pheap Group,Multiple ELCs
Try Pheap Group,Stung Atay hydropower dam reservoir and three ELCs in Phnom Samkos Wildlife Sanctuary
Try Pheap Group,Not specified
Abong Mbang & Fils,Forêt communautaire de Kassarafam
AFRIGRUM,VC 08 06 156
Amougou Amougou Jules (AAJ),AEB 0056
Biloa Atsama,AEB 1356
BODUCAM,VC 0903341
BODUCAM,VC 0903342
BODUCAM,VC 0903343
BUBINGA (en partenariat avec South & Fils),UFA 09 023 AAC 2-3
CAFECO,UFA 11 005 AAC 1
CAMEROON LONG YUAN,Sombo
CFC,UFA 10 004 AAC 3-5
COBANKO (partenaire: Abong Mbang & Fils),Forêt communautaire de Kongo
COFA,Not specified
Communauté COVINCO/ABong Mbang Cars,Forêt communautaire de Nkondong
CUF,UFA 09 019 AAC 3-1
ECIC,Not specified
EFICNT,AEB 0174
MGZ,AEB 0135
ISIBOIS ,AEB 0079
ETF,AEB 275
ETAMFA,AEB 07 03 087
SEF,ARB 1327
EFM,VC 08 09 179
EFM,VC 08 10 113
FIPCAM,UFA 09 017 AAC 2-6
GBOPABA / Abong Mbang & Fils,Forêt communautaire de Ngola-Achip
GIC MPDB,Forêt communautaire
Grandes Scieries d'Edéa,Convention de Vente aux Enchères Publics de Bois)
Horizon Bois,VC 09 03 154
IFTCA,UFA 08 006
IFTCA,AEB 02491
Juju Bois,Forêt communautaire de Kassarafam
KIEFFER et Cie (KIEFFER),VC 07 03 62
LFM,ARB 1882
LOREMA,UFA 09 003 AAC 2-3 / 2-4
MMG,UFA 00 003
Monsieur Francis ABESSOLO MINTOUNOU,Not specified
Monsieur Marc NEMI BINGAN,Not specified
Monsieur Nyeck,Not specified
Muwud Emanuel and Sons Entreprises (MUWUD),AEB 0763
PEMACO,Not specified
PEMACO,AEB 1241
