,attributai,b_cert_af,b_cert_leg,b_cert_tra,created_date,created_user,d_cert_af,d_cert_leg,d_cert_tra,date_amgt,date_attr,date_con_d,date_con_p,desc_type,exploitant,globalid,last_edited_date,last_edited_user,nom_conces,objectid,s_cert_af,statu_amgt,statu_attr,statu_conv,sup_adm_ha,t_cert_af,t_cert_leg,t_cert_tra,type_
13,,,,,1509528188000,KENDY,,1402185600000.0,,1309392000000.0,972000000000.0,1313020800000.0,972000000000.0,Concession Forestière,,{DD0FBB4D-1770-45B4-8CCC-28B00A86EBC0},1518599797000,KENDIE,1047,662,,amenge,attribue,definitive,149079.0,,OLB,,4110110
14,,,,,1509528188000,KENDY,,,,,1418601600000.0,,1409529600000.0,Concession Forestière,,{2A13D8F3-27F6-412E-A287-FB474C404A49},1518600330000,KENDIE,1071,666,,en_cours,attribue,provisoire,92241.0,,,,4110110
15,,,,,1509528188000,KENDY,,,,1325376000000.0,1406592000000.0,,1163980800000.0,Concession Forestière,,{1FBE9ABD-89D4-4526-87AE-F5D578BB9883},1518600399000,KENDIE,1090,667,,amenge,attribue,provisoire,97123.0,,,,4110110
16,,BV-FM/COC,,,1509528188000,KENDY,1223510400000.0,1304208000000.0,,1086048000000.0,1369612800000.0,,1104537600000.0,Concession Forestière,,{B8453558-CFCF-4CAF-9CFA-50062A9DE39D},1518599804000,KENDIE,1044,697,,amenge,attribue,provisoire,47585.0,FSC,OLB,,4110110
17,,,,,1509528188000,KENDY,,,,1451606400000.0,1406592000000.0,,1360281600000.0,Concession Forestière,,{96F3DC89-0E7F-4EE4-8415-894812D2C47C},1518600386000,KENDIE,1099,754,,amenge,attribue,provisoire,74464.0,,,,4110110
18,,,,,1509528188000,KENDY,,,,1318896000000.0,1433721600000.0,,1143072000000.0,Concession Forestière,,{0053FCC5-2BF2-4A5B-9990-9ED70027923E},1520442078000,KENDIE,1082,647,,amenge,attribue,provisoire,26895.0,,,,4110110
19,ENJC,,,,1509528188000,KENDY,,,,1451606400000.0,1346112000000.0,,1355702400000.0,Concession Forestière,ENJC,{B75509D1-ABA8-4322-B984-01EA4E761CE3},1520435556000,KENDIE,1091,712,,amenge,attribue,provisoire,28410.0,,,,4110110
20,EDEATECH,,,,1509528188000,KENDY,,,,,1267488000000.0,,,Concession Forestière,,{080C5338-C250-4CB3-921F-56AD5A4511B8},1520435361000,KENDIE,1027,691,,non_amenage,abandonne,,100000.0,,,,4110110
21,,,,,1509528188000,KENDY,,,,1224806400000.0,1428969600000.0,,1104624000000.0,Concession Forestière,,{C1ABC451-D955-42E6-8A1C-12356165C2B4},1520442079000,KENDIE,1077,746,,amenge,attribue,,36340.0,,,,4110110
22,LOREMA,,,SGS,1509528188000,KENDY,,,1401926400000.0,1230076800000.0,962409600000.0,,972000000000.0,Concession Forestière,LOREMA,{A1A2A39C-EB5C-48FB-9F61-53E162348A48},1520442079000,KENDIE,1032,664,,amenge,attribue,provisoire,183350.0,,,SGS-CW/FM,4110110
23,SFID,RA-FM/COC,,,1509528188000,KENDY,1363910400000.0,,1241654400000.0,1131840000000.0,890956800000.0,1291248000000.0,890956800000.0,Concession Forestière,SFID,{BE9AFFF3-2076-456F-B3CD-533B3004D31E},1520442078000,KENDIE,1012,727,,amenge,attribue,definitive,67942.0,FSC,,SW-CW,4110110
