id,created_date,created_user,desc_type,globalid,id_nat_ste,last_edited_date,last_edited_user,localite,nom_groupe,nrc_ste,objectid,societe,type_
0,1509548310000,CMR,Société d'exploitation,{B4BE5C48-8541-4B12-978E-4343D65A0A39},,1534279407000,CMR,,,CM/UNKNOWN/0152,152,IBC,8210120
1,1509548310000,CMR,Société d'exploitation,{5BABC321-0ED8-4EC6-B028-8B2DA6F84093},,1534279407000,CMR,,CUF,CM/UNKNOWN/0186,186,CAMTRANS,8210120
2,1509548310000,CMR,Société d'exploitation,{E1D8F43F-8C39-4402-8B06-11AB558E2F8F},,1534279407000,CMR,,,CM/UNKNOWN/0216,216,Com. Dimako,8210120
3,1509548310000,CMR,Société d'exploitation,{0406C1B6-6A3E-458A-9E33-B2C0971BC2C5},,1534279407000,CMR,,VICWOOD,CM/UNKNOWN/0177,177,SEBC,8210120
4,1509548310000,CMR,Société d'exploitation,{9356E7D5-6A48-4F7C-B639-E4AE2A1EEEFE},,1534279407000,CMR,,,CM/UNKNOWN/0202,202,Com. Yokadouma,8210120
5,1509548310000,CMR,Société d'exploitation,{AC32B46B-A5EF-4463-A425-AFE727FB2C58},,1534279407000,CMR,,,CM/UNKNOWN/0205,205,Com. Djoum,8210120
6,1509548310000,CMR,Société d'exploitation,{99A437C4-12FF-47C1-A828-64E6D14CEA3D},,1534279407000,CMR,,ROUGIER,CM/UNKNOWN/0170,170,CAMBOIS,8210120
7,1509548310000,CMR,Société d'exploitation,{94055A26-FE08-45D5-84DF-7E617FC26A18},,1534279407000,CMR,,,CM/UNKNOWN/0211,211,SABM,8210120
8,1509548310000,CMR,Société d'exploitation,{30420501-3777-4CC7-81CE-FF614A921A3D},,1534279407000,CMR,,WIJMA,CM/UNKNOWN/0188,188,CFK,8210120
9,1509548310000,CMR,Société d'exploitation,{C4B6BE01-D786-4A46-AEA7-39E20F00B213},,1534279407000,CMR,,WIJMA,CM/UNKNOWN/0156,156,SCIEB,8210120
10,1509548310000,CMR,Société d'exploitation,{0A3AC596-C101-4377-ABBD-47B7E3B33829},,1534279407000,CMR,,,CM/UNKNOWN/0160,160,STJJY,8210120
11,1509548310000,CMR,Société d'exploitation,{CA5DAD03-FEDE-4CE4-A49A-38E54769957C},,1534279407000,CMR,,,CM/UNKNOWN/0155,155,LA ROSIERE,8210120
12,1509548310000,CMR,Société d'exploitation,{F716B299-4CAD-469F-9A8A-6F270C44CCE2},,1534279407000,CMR,,ROUGIER,CM/UNKNOWN/0199,199,SOCIB,8210120
13,1509548310000,CMR,Société d'exploitation,{681E1FCF-3E03-4814-B9A9-D3D7946B8ACE},,1534279407000,CMR,,,CM/UNKNOWN/0204,204,SIBM,8210120
14,1509548310000,CMR,Société d'exploitation,{8435CA1A-482E-49E8-B5A8-D6BF79F289F0},,1534279407000,CMR,,,CM/UNKNOWN/0174,174,SCABOIS,8210120
15,1509548310000,CMR,Société d'exploitation,{9FC38ADE-7194-4AA6-9670-6AA9691A77F0},,1534279407000,CMR,,SEFAC,CM/UNKNOWN/0145,145,SEBAC,8210120
16,1509548310000,CMR,Société d'exploitation,{CD6B3438-CEAB-4DD8-9057-EF654DBD8A53},,1534279407000,CMR,,SEFAC,CM/UNKNOWN/0191,191,SEFAC,8210120
17,1509548310000,CMR,Société d'exploitation,{BDCF9CA7-A48B-444B-A071-A9F7471EFB5B},,1534279407000,CMR,,,CM/UNKNOWN/0173,173,PLACAM,8210120
18,1509548310000,CMR,Société d'exploitation,{DDBE6826-3546-4BF0-B5F2-C2AB8FADA600},,1534279407000,CMR,,VICWOOD,CM/UNKNOWN/0195,195,SAB,8210120
19,1509548310000,CMR,Société d'exploitation,{F190B05C-61C7-4B43-9AF0-43CF9860107D},,1534279407000,CMR,,ALPI,CM/UNKNOWN/0171,171,STBK,8210120
20,1509548310000,CMR,Société d'exploitation,{BB7B1D28-160F-4379-A119-77BE92992BD2},,1534279407000,CMR,,,CM/UNKNOWN/0201,201,SFB,8210120
21,1509548310000,CMR,Société d'exploitation,{37F48B83-A243-4796-BF7D-3C242B056426},,1534279407000,CMR,,ALPI,CM/UNKNOWN/0167,167,Habitat 2000,8210120
22,1509548310000,CMR,Société d'exploitation,{5CA83444-E05A-467A-AFFD-3299C4874763},,1534279407000,CMR,,FIPCAM,CM/UNKNOWN/0148,148,FIPCAM,8210120
23,1509548310000,CMR,Société d'exploitation,{A56C0063-24F5-439B-96A0-3DB8EB53E487},,1534279407000,CMR,,KHOURY,CM/UNKNOWN/0176,176,SN COCAM,8210120
24,1509548310000,CMR,Société d'exploitation,{88E7E553-E2AE-43A2-AC78-6C86366906CA},,1534279407000,CMR,,SIM,CM/UNKNOWN/0196,196,SFDB,8210120
25,1509548310000,CMR,Société d'exploitation,{475B2327-A5FB-4B9C-BF95-38DC1B4B7345},,1534279407000,CMR,,ROUGIER,CM/UNKNOWN/0158,158,MPACKO,8210120
26,1509548310000,CMR,Société d'exploitation,{6E0C5361-BF69-405F-8F12-0FC9D8AA349F},,1534279407000,CMR,,,CM/UNKNOWN/0208,208,COFA,8210120
27,1509548310000,CMR,Société d'exploitation,{CFEF5B9A-3084-443A-B86C-B9AF39A097A6},,1534279407000,CMR,,,CM/UNKNOWN/0169,169,EFJK,8210120
28,1509548310000,CMR,Société d'exploitation,{B9192A06-F4DA-43D9-A5AC-75FCAF41F902},,1534279407000,CMR,,,CM/UNKNOWN/0184,184,ETS KAKOUANDE,8210120
29,1509548310000,CMR,Société d'exploitation,{9162F9DE-56B9-4C84-AC58-89B0440D489E},,1534279407000,CMR,,VICWOOD,CM/UNKNOWN/0203,203,CFC,8210120
30,1509548310000,CMR,Société d'exploitation,{90FC8A38-1B52-416F-9D59-49C905CB7CE1},,1534279407000,CMR,,,CM/UNKNOWN/0181,181,Com. Messamena-Mindourou,8210120
31,1509548310000,CMR,Société d'exploitation,{563E4063-05D5-4349-A139-3D17513DE1BB},,1534279407000,CMR,,ALPI,CM/UNKNOWN/0149,149,ALPICAM,8210120
32,1509548310000,CMR,Société d'exploitation,{C7EA1596-2060-4350-B504-EA0C3B964C8E},,1534279407000,CMR,,ALPI,CM/UNKNOWN/0197,197,SFCS,8210120
33,1509548310000,CMR,Société d'exploitation,{29172221-B0AC-4D7B-A7DA-E44090A28322},,1534279407000,CMR,,,CM/UNKNOWN/0172,172,GRACOVIR,8210120
34,1509548310000,CMR,Société d'exploitation,{55730EED-AD9D-4DD2-8568-3F6D92A3A8FC},,1534279407000,CMR,,P. MARELIS,CM/UNKNOWN/0175,175,PM SARL,8210120
35,1509548310000,CMR,Société d'exploitation,{4BEC17DA-E8A0-4426-A693-581BED39B92B},,1534279407000,CMR,,PASQUET,CM/UNKNOWN/0178,178,PALLISCO,8210120
36,1509548310000,CMR,Société d'exploitation,{33D28845-5536-46E6-88E0-9D9637A3FCB4},,1534279407000,CMR,,ROUGIER,CM/UNKNOWN/0183,183,SFF,8210120
37,1509548310000,CMR,Société d'exploitation,{0AFEDA13-031D-4713-B34C-5ECF32E6C41B},,1534279407000,CMR,,,CM/UNKNOWN/0187,187,SIENCAM,8210120
38,1509548310000,CMR,Société d'exploitation,{233F7D8B-908E-499F-B665-23189EC15AB8},,1534279407000,CMR,,Boitex,CM/UNKNOWN/0165,165,SEPFCO,8210120
39,1509548310000,CMR,Société d'exploitation,{BB8BD926-3A7C-4282-AAE5-BBD1E2E42EFD},,1534279407000,CMR,,,CM/UNKNOWN/0182,182,CANABOIS,8210120
40,1509548310000,CMR,Société d'exploitation,{737C21C2-37E4-43C2-B7DD-BA0B6D77C73B},,1534279407000,CMR,,,CM/UNKNOWN/0210,210,Com. Nanga Eboko,8210120
41,1509548310000,CMR,Société d'exploitation,{96491239-13D6-422D-9A7D-63AA1EDE5D3D},,1534279407000,CMR,,,CM/UNKNOWN/0193,193,Multi-Services Plus,8210120
42,1509548310000,CMR,Société d'exploitation,{A0F3ACF5-76A2-4996-9B98-185D5D387D17},,1534279407000,CMR,,,CM/UNKNOWN/0212,212,Com. Dzeng,8210120
43,1509548310000,CMR,Société d'exploitation,{C7AE24D2-9832-4A25-8496-3FEBE8988AC9},,1534279407000,CMR,,WIJMA,CM/UNKNOWN/0161,161,CAFECO,8210120
44,1509548310000,CMR,Société d'exploitation,{C0EFFD11-981B-4681-9791-2D6102C0F77C},,1534279407000,CMR,,SIM,CM/UNKNOWN/0206,206,SIM,8210120
45,1509548310000,CMR,Société d'exploitation,{DD117320-25CC-42C6-88D9-16AC3A4A1115},,1534279407000,CMR,,,CM/UNKNOWN/0150,150,Com. Gari Ngombo,8210120
46,1509548310000,CMR,Société d'exploitation,{848B8F81-CE5D-4A75-84F7-88FC66B4457A},,1534279407000,CMR,,SEFAC,CM/UNKNOWN/0157,157,FILIERE BOIS,8210120
47,1509548310000,CMR,Société d'exploitation,{784FF466-966A-44C3-9CA1-0D78DA7A40DD},,1534279407000,CMR,,,CM/UNKNOWN/0154,154,Com. Messondo,8210120
48,1509548310000,CMR,Société d'exploitation,{3E319EDD-8632-4D0A-81D8-F633908959C1},,1534279407000,CMR,,,CM/UNKNOWN/0168,168,SFW,8210120
49,1509548310000,CMR,Société d'exploitation,{156235B9-8A94-4636-AA1B-E9B6D8733193},,1534279407000,CMR,,ALPI,CM/UNKNOWN/0159,159,GRUMCAM,8210120
50,1509548310000,CMR,Société d'exploitation,{FA4D5226-C939-479B-986C-10B7BC51EEF1},,1534279407000,CMR,,,CM/UNKNOWN/0214,214,EDEATECH,8210120
51,1509548310000,CMR,Société d'exploitation,{E5181DBC-2017-45B5-80AB-46D73354DC1D},,1534279407000,CMR,,ROUGIER,CM/UNKNOWN/0180,180,LOREMA,8210120
52,1509548310000,CMR,Société d'exploitation,{3E43EE52-31C6-4FCD-B6C2-76320158E94E},,1534279407000,CMR,,,CM/UNKNOWN/0209,209,SBAC,8210120
53,1509548310000,CMR,Société d'exploitation,{7CAC96D4-7D12-4386-9518-52A65D5CDB1E},,1534279407000,CMR,,VICWOOD,CM/UNKNOWN/0215,215,CIBC,8210120
54,1509548310000,CMR,Société d'exploitation,{4D71D056-E0A1-4C8A-90AB-16AAF34098CD},,1534279407000,CMR,,DECOLVENAERE,CM/UNKNOWN/0151,151,Green Valley Inc.,8210120
55,1509548310000,CMR,Société d'exploitation,{8DD04496-113C-4797-BD82-5753364FD172},,1534279407000,CMR,,FOKOU,CM/UNKNOWN/0164,164,SCTB,8210120
56,1509548310000,CMR,Société d'exploitation,{E570F448-CDEE-47DC-8A11-EF88D2FF4E10},,1534279407000,CMR,,,CM/UNKNOWN/0213,213,Com. Minta,8210120
57,1509548310000,CMR,Société d'exploitation,{F622E54A-E00F-42BC-85BB-6724593EF3D0},,1534279407000,CMR,,,CM/UNKNOWN/0189,189,TONKAM&Cie,8210120
58,1509548310000,CMR,Société d'exploitation,{276E64E3-3B89-4B8C-8BD7-2FADBBBEE701},,1534279407000,CMR,,,CM/UNKNOWN/0207,207,EFFA JBP,8210120
59,1509548310000,CMR,Société d'exploitation,{BA1B7401-D12C-4EB1-9987-29A68ED8C319},,1534279407000,CMR,,,CM/UNKNOWN/0147,147,Com. Mouloundou,8210120
60,1509548310000,CMR,Société d'exploitation,{CDA7EA87-B422-4582-ADE8-80C5FA66E1CF},,1534279407000,CMR,,PASQUET,CM/UNKNOWN/0162,162,SODETRANCAM,8210120
61,1509548310000,CMR,Société d'exploitation,{DC5B73EA-3FE9-43A8-A107-084CDB47E0EE},,1534279407000,CMR,,,CM/UNKNOWN/0166,166,SEFECCAM,8210120
62,1509548310000,CMR,Société d'exploitation,{C352B062-173A-42C8-99E6-D109D7A71A92},,1534279407000,CMR,,,CM/UNKNOWN/0194,194,BOTAC,8210120
63,1509548310000,CMR,Société d'exploitation,{012A7093-FFE1-4365-8D2A-EB70CFA88A84},,1534279407000,CMR,,PASQUET,CM/UNKNOWN/0153,153,LFM,8210120
64,1509548310000,CMR,Société d'exploitation,{5552B9E4-03B8-4F31-A45F-5AEE302E1DBB},,1534279407000,CMR,,WIJMA,CM/UNKNOWN/0146,146,CUF,8210120
65,1509548310000,CMR,Société d'exploitation,{827ABCEE-1D30-4236-98AE-607C2DC0B869},,1534279407000,CMR,,,CM/UNKNOWN/0198,198,SFEES,8210120
66,1509548310000,CMR,Société d'exploitation,{D8199978-3BB6-40F8-8CF6-24D846D63ECA},,1534279407000,CMR,,ROUGIER,CM/UNKNOWN/0190,190,SFID,8210120
67,1509548310000,CMR,Société d'exploitation,{00F901B3-811B-491F-B1FC-800232FC976D},,1534279407000,CMR,,,CM/UNKNOWN/0200,200,SOFOHNY,8210120
68,1509548310000,CMR,Société d'exploitation,{3462E0F5-9F04-4411-9F98-B1F4FADFF000},,1534279407000,CMR,,DECOLVENAERE,CM/UNKNOWN/0179,179,SFIL,8210120
69,1509548310000,CMR,Société d'exploitation,{1DDAE608-EEDF-43F7-88D4-B67B132C0F1F},,1534279407000,CMR,,,CM/UNKNOWN/0185,185,ENJC,8210120
70,1509548310000,CMR,Société d'exploitation,{F454C4E5-49F5-4380-B1EE-BAB421901405},,1534279407000,CMR,,WIJMA,CM/UNKNOWN/0192,192,MMG,8210120
71,1509548310000,CMR,Société d'exploitation,{2442B0CA-694B-49B9-8396-CB005C54F655},,1534279407000,CMR,,,CM/UNKNOWN/0163,163,DINO&FILS,8210120
