,ESRI_OID,att_name,attachmentid,auteur,content_type,data_size,date_doc,desc_type,doc_ref,doc_titre,globalid,nom_conces,nom_foret,type_,url
53,54,09-005bavis_au_public-Exploitation_2000.pdf,1253,,application/pdf,348843,,,,,{40F70854-1741-40DE-83FC-89AC671D05DF},1034,09-005B,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/879/attachments/1253
54,55,FCOM DJOULGOUF CP 2016.pdf,926,,application/pdf,1899316,,,,,{7469D498-BB8B-427C-9ABD-4725877F4F1D},,628,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/1623/attachments/926
55,56,UFA11003_11004_AP_2006.pdf,5118,,application/pdf,660393,,,,,{871058C9-A59D-4487-AE03-68B4958927B3},1089,11-003,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/829/attachments/5118
56,57,UFA09022_APU_CLA_2002.pdf,5916,,application/pdf,459965,,,,,{A0916E10-F5AE-4670-A9EA-F4CB403448ED},1078,09-022,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/786/attachments/5916
57,58,UFA08003_AMS.pdf,4561,,application/pdf,261104,,,,,{1F62C972-A2BB-491D-A3F6-6F470D708B1C},1020,08-003,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/800/attachments/4561
58,59,FC_Ngaoudère_DC_2016.pdf,4,,application/pdf,11846114,,,,,{915B1003-3E85-4327-8090-41F1CA3150F4},,NGAOUNDERE III,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/941/attachments/4
59,60,UFA09028_AMS_2005.pdf,5109,,application/pdf,543474,,,,,{55D2440A-E3B3-40DB-B15E-6FF61818EB5C},1082,09-028,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/772/attachments/5109
60,61,UFA10018_DECLA_2005.pdf,4888,,application/pdf,1525147,,,,,{E84BEE13-4838-4896-AAB0-AB64FEBB7A10},1003,10-018,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/805/attachments/4888
61,62,Arrêté VC 07 02 100 COFA.pdf,3646,,application/pdf,3235736,,,,,{912BEF70-5EC2-40EF-9689-D7A47EB3E4D9},,0702100,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/4/4977/attachments/3646
62,63,UFA09011_AGPF.pdf,5424,,application/pdf,394119,,,,,{C61BF201-C1E2-4235-93E5-69D128D8F033},1079,09-011,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/871/attachments/5424
63,64,UFA08003_RTRANS.pdf,4543,,application/pdf,1056639,,,,,{592DEC0F-89FA-45B7-AB1E-7A50834AD388},1020,08-003,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/800/attachments/4543
64,65,UFA10061_CC.pdf,4995,,application/pdf,3780486,,,,,{666DAC17-6F61-4793-905E-14692904AFCE},1021,10-061,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/883/attachments/4995
65,66,PA NGOURA Part2.pdf,8896,,application/pdf,23671870,,,,,{D4DA4A10-993D-4E22-886D-848762A70C5E},,NGOURA,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/806/attachments/8896
66,67,UFA10049_COPROV.pdf,5325,,application/pdf,2078676,,,,,{F54CAB75-1C91-4096-A2E9-04769F9385A9},1085,10-049,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/810/attachments/5325
67,68,UFA11005_PA.pdf,5103,,application/pdf,138617,,,,,{2FCF6956-A70C-42BC-902C-D78D0782A1FB},1087,11-005,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/947/attachments/5103
68,69,Fcom_FORET COMMUNAUTAIRE DES AGRICULTEURS_AMS_08082016.pdf,814,,application/pdf,361994,,,,,{E8ABB6B4-4B02-4690-A1DD-C887CB3B5105},,08-04-672,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/3038/attachments/814
69,70,UFA10003_CC.pdf,4868,,application/pdf,7188123,,,,,{EE372638-5816-4091-A8ED-270ABA5729D0},1025,10-003,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/1751/attachments/4868
70,71,CP Gic Bememe__2014.pdf,947,,application/pdf,600007,,,,,{7390B318-08AD-44D2-86EE-461E97209EC8},,10-02-567,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/1479/attachments/947
71,72,UFA10005_COPROV.pdf,5385,,application/pdf,2164388,,,,,{5D3447E1-84B3-4264-90F1-E47DBCC4B89E},1051,10-005A,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/795/attachments/5385
72,73,PA UFA 11 006 2015.pdf,6874,,application/pdf,45231965,,,,,{ED73916D-9034-4FE4-8F38-7A9D79165B02},1092,11-006,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/815/attachments/6874
73,74,SABM Fusion.pdf,5978,,application/pdf,1591700,,,,,{BF53FE13-2014-47D1-952B-D3CB8649D72F},1026,08-001,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/901/attachments/5978
74,75,UFA09004a_PA_2007.pdf,4639,,application/pdf,24737116,,,,,{97E9EF3E-8726-4AD8-8C03-E13E2B3EB329},1032,09-004A,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/819/attachments/4639
75,76,UFA10058_AMS_2001.pdf,5463,,application/pdf,318241,,,,,{B21A1C5A-EE31-487A-9FDA-90598854937B},1009,10-058,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/899/attachments/5463
76,77,UFA08001_CODEF.pdf,5883,,application/pdf,1265634,,,,,{21630DB8-C63C-4A63-8AA4-18DB71B862AA},1026,08-001,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/901/attachments/5883
77,78,avais au public.2000.pdf,6862,,application/pdf,415910,,,,,{030A3DDA-D629-435A-B2B1-298EAD8E3D9D},1009,10-058,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/899/attachments/6862
78,79,UFA10056_APU_CLA_2002.pdf,6074,,application/pdf,297210,,,,,{5A6EA036-B7F5-4827-9677-659F1A263311},1066,10-056,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/914/attachments/6074
79,80,UFA10049_MT.pdf,5243,,application/pdf,415666,,,,,{AA47FD27-3D1A-40D4-B0C0-311DE66DADD0},1085,10-049,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/810/attachments/5243
80,81,FC_Batouri_DC_2016.pdf,1,MINFOF,application/pdf,21108964,1471305600000.0,Décret,2016/3302,Décret,{D3F4D706-09AD-49A4-A637-4E67FC93DCB2},,Batouri,9200100.0,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/888/attachments/1
81,82,FC_Ngan-Ha_DC_2016.pdf,3,,application/pdf,15466985,,,,,{EBEB81CA-D659-4264-9AD4-33DD485DF711},,NGAN_HA,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/790/attachments/3
82,83,UFA09006_description.pdf,6038,,application/pdf,39387,,,,,{9522A71D-1971-43EF-9EDB-5C98C67E0952},1001,09-006,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/867/attachments/6038
83,84,UFA09006_RIF_2004.pdf,5937,,application/pdf,734511,,,,,{91CFB051-8026-4C57-B353-CCC2E3804155},1001,09-006,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/867/attachments/5937
84,85,UFA10060_PA_2004.pdf,5144,,application/pdf,4222095,,,,,{A7A7C0DE-6B3A-4A74-A1E5-EF79483D0651},1046,10-060,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/922/attachments/5144
85,86,UFA10002_AMS.pdf,4805,,application/pdf,212668,,,,,{13027313-A194-41BE-9A1C-8BC33694A896},1025,10-002,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/887/attachments/4805
86,87,UFA10028_AGPF.pdf,5320,,application/pdf,553991,,,,,{743F87BF-836F-490B-AE01-295861ECF45C},1098,10-028,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/774/attachments/5320
87,88,UFA10001_DECLA_2005.pdf,4975,,application/pdf,6356120,,,,,{46C8DBFD-F834-4591-9047-88FA19E7F3C4},1025,10-001,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/767/attachments/4975
88,89,UFA00004_EIE_2006.pdf,5888,,application/pdf,3077619,,,,,{E769AFEC-3D52-4911-B228-280EF1B78293},1029,00-004,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/926/attachments/5888
89,90,Fcom_ABAKO_CP_12102015.pdf,448,,application/pdf,1590763,,,,,{C2A35343-8804-4F6F-B7FB-51672C49096C},,578,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/1770/attachments/448
90,91,FCOM SOCAOFCOBO CP 2015.pdf,901,,application/pdf,2035199,,,,,{40BD1CA5-FD22-462C-AE6D-EEB0693BE90E},,08-08-028,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/1680/attachments/901
91,92,UFA11006_DECLA.pdf,5291,,application/pdf,3867230,,,,,{EC903A10-24C6-4BD7-8CCD-79DE38FF6662},1092,11-006,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/815/attachments/5291
92,93,UFA10018_AGPF.pdf,4842,,application/pdf,496565,,,,,{B32D53B1-F744-450D-A273-C40D084462A5},1003,10-018,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/805/attachments/4842
93,94,Fcom_BILIK_AMS_5052015.pdf,420,,application/pdf,1026075,,,,,{E508C32F-222D-452E-9917-5D6F7ABB98BE},,09-04-589,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/2640/attachments/420
94,95,VC_09 01 370_2015.pdf,435,,application/pdf,8600160,,,,,{0520FF7E-082E-4743-B65A-2622BD16D038},,0901370,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/4/790/attachments/435
95,96,UFA09019_MT.pdf,5229,,application/pdf,531793,,,,,{F63B716B-8709-40FA-B10B-9A11F5418B5B},1036,09-019,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/895/attachments/5229
96,97,FC_MESSONDO_DC_2006.pdf,5028,,application/pdf,150289,,,,,{406E61A7-081B-4EFF-9EF3-41CAC7852F08},1480,MESSONDO,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/827/attachments/5028
97,98,UFA10049_APU_CLA_2002_2.pdf,5101,,application/pdf,438637,,,,,{C9A4A137-8F90-42A9-B118-54ADC8C2CCF3},1085,10-049,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/810/attachments/5101
98,99,FC_Yoko_DECLA.pdf,5412,,application/pdf,1374248,,,,,{7CF5FE5C-6484-431B-BD67-7A69FAE87E14},,YOKO,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/788/attachments/5412
99,100,UFA09006_PGQ_2005.pdf,5838,,application/pdf,2432976,,,,,{A0CDE182-BEFF-483C-94A4-3D2995E76674},1001,09-006,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/867/attachments/5838
100,101,UFA11002_APU_CLA_2002.pdf,5035,,application/pdf,355725,,,,,{F898E9CD-8D7F-48E3-B6BF-C787A1624EC5},1068,11-002,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/834/attachments/5035
101,102,UFA10033_COPROV.pdf,5201,,application/pdf,1983001,,,,,{EDCB589F-E6FD-4A40-B936-C75F760CDBE2},1100,10-033,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/821/attachments/5201
102,103,UFA09006_PA_2004.pdf,6012,,application/pdf,4760269,,,,,{1C8CE426-8D12-45D3-A91B-6CFE00C28C3B},1001,09-006,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/867/attachments/6012
103,104,UFA10001_CODEF_2010.pdf,4820,,application/pdf,129982,,,,,{E522C908-F6CC-44D1-BBF1-A6773C45C3E3},1025,10-001,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/767/attachments/4820
104,105,UFA09021_CC.pdf,5874,,application/pdf,3086921,,,,,{666A5087-4D0D-43D4-ADC6-ED6998CAE7FD},1006,09-021,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/818/attachments/5874
105,106,FC_DJOUM_DECLA_2002.pdf,5319,,application/pdf,1268273,,,,,{7291E0B4-2DC1-488E-8BC0-4927B292CF5D},1479,DJOUM,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/915/attachments/5319
106,107,UFA09020_PA_2009.pdf,5512,,application/pdf,4907207,,,,,{D9586297-7485-44A2-8259-892FB9B76F8B},1069,09-020,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/828/attachments/5512
107,108,UFA00004_RIA_2005_2.pdf,5955,,application/pdf,1940197,,,,,{DA28F204-D187-45DD-8C96-D2666BA3EB67},1029,00-004,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/926/attachments/5955
108,109,FC_Doumaintang_APROPA.pdf,5068,,application/pdf,191860,,,,,{009FAB18-7E86-4D7E-A760-A2941158CABC},1490,DOUMAINTANG,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/840/attachments/5068
109,110,UFA10005_RIA_2009.pdf,5324,,application/pdf,4323162,,,,,{19F66274-9DE3-4CE9-8A5B-B3B0D063038D},1051,10-005A,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/795/attachments/5324
110,111,DECLA 10045.pdf,6454,,application/pdf,2313924,,,,,{3816C4CD-C66E-431B-8E72-D50F0FD23D91},1045,10-045,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/841/attachments/6454
111,112,UFA11004_ACTIA_2008.pdf,5300,,application/pdf,41299,,,,,{CA9B741A-9C13-482C-9A2D-C6B72EBAD83D},1089,11-004,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/928/attachments/5300
112,113,UFA08009_RIE_2005.pdf,4674,,application/pdf,514594,,,,,{C74B94CF-C786-4436-A541-5C876A76A1B4},1031,08-009,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/913/attachments/4674
113,114,UFA10015_COPROV.pdf,4874,,application/pdf,6849663,,,,,{F07D7F28-4BD2-4EE2-8507-378FF330F687},1004,10-015,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/808/attachments/4874
