,ESRI_OID,att_name,attachmentid,auteur,content_type,data_size,date_doc,desc_type,doc_ref,doc_titre,globalid,nom_conces,nom_foret,type_,url
0,1,UFA08006_CC.pdf,4657,,application/pdf,2135884,,,,,{D3409970-1A2D-495D-ACF9-5CD782613F4C},1002,08-006,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/822/attachments/4657
1,2,UFA11004_CC.pdf,5191,,application/pdf,3395497,,,,,{8A1E4DFB-737C-4005-9A80-A3C77C156F2A},1089,11-004,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/928/attachments/5191
2,3,UFA11001_CONDEF_SIENCAM (15 05 14).pdf,5063,,application/pdf,2360159,,,,,{6990B6F3-F007-4736-9B03-140BFBD92C6A},1086,11-001,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/778/attachments/5063
3,4,UFA09007_PA_2009.pdf,6015,,application/pdf,21854515,,,,,{C21FCEED-C6DA-4DFD-AEC2-20EB42436A4A},1073,09-007,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/768/attachments/6015
4,5,UFA10029_PGQ_2005.pdf,4886,,application/pdf,1150715,,,,,{7037CD6C-E702-4246-B8A9-7C7FA509BA32},1014,10-029,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/807/attachments/4886
5,6,UFA09027_CODEF.pdf,5885,,application/pdf,401195,,,,,{E08A1E2B-3C4E-40BC-8261-62763613BA87},1081,09-027,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/864/attachments/5885
6,7,Arreté VC 0703316 SOFOCAM.pdf,3222,,application/pdf,7245038,,,,,{36DC2592-BC0A-4DD8-9B20-7D0591C263FC},,0703316,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/4/4968/attachments/3222
7,8,CP_Codevilam_2015.pdf,835,,application/pdf,519548,,,,,{5081B8AE-D63D-4411-B8B4-44F950F59A52},,10-02-569,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/1401/attachments/835
8,9,GIC SANGULU AMS_2017.pdf,1239,,application/pdf,786734,,,,,{69116144-BA39-4270-B571-05B9F5DE9A30},,09-03-700,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/4265/attachments/1239
9,10,UFA10044_NTRANS.pdf,5254,,application/pdf,150392,,,,,{F9A6C15A-5F72-48DD-BE24-9FC54B561B30},1056,10-044,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/801/attachments/5254
10,11,UFA09005a_PA_2007.pdf,4587,,application/pdf,24737116,,,,,{FA4D9F5C-EBC5-4C1C-917C-48FB3426045E},1032,09-005A,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/925/attachments/4587
11,12,Fcom_ZONDJOGNOUL DE BIENEMAMA-ANCIEN_AMS_03032015.pdf,410,,application/pdf,792353,,,,,{34439D96-A4EC-4DEA-A3E8-D513958C597D},,09-01-620,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/2635/attachments/410
12,13,UFA10048_COPROV.pdf,5330,,application/pdf,1974282,,,,,{BDA9DF37-225F-4A48-896B-123F123E9D19},1084,10-048,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/844/attachments/5330
13,14,UFA09017_09018_EIE.pdf,5834,,application/pdf,8319456,,,,,{B6159982-8FB2-4F6C-B23A-44AC18498973},1050,09-017,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/884/attachments/5834
14,15,Ams_Codevilam_2014.pdf,945,,application/pdf,938547,,,,,{4F47ADC4-8DE2-4305-BEB4-9D103EA262C5},,10-02-569,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/1401/attachments/945
15,16,UFA09006_COPROV_1998.pdf,5903,,application/pdf,157307,,,,,{E365DD98-C305-4AC6-B048-29422797B6C8},1001,09-006,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/867/attachments/5903
16,17,UFA08001_PA_2005.pdf,6004,,application/pdf,297196,,,,,{DDC602BC-4538-4D28-90BE-2975266987F3},1026,08-001,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/901/attachments/6004
17,18,UFA10027CEQTB.pdf,5427,,application/pdf,376200,,,,,{B2EA4930-83DC-412E-B808-443641C383F3},1097,10-027,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/835/attachments/5427
18,19,UFA09026_CODEF.pdf,5357,,application/pdf,401195,,,,,{940A8857-F5B6-440A-BD0D-868AF9E6BAF4},1081,09-026,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/861/attachments/5357
19,20,UFA11004_PA_2009.pdf,5531,,application/pdf,6294847,,,,,{22B5831E-77A1-4C70-8BD6-624A075884F7},1089,11-004,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/928/attachments/5531
20,21,UFA10052_RIA_2003.pdf,6067,,application/pdf,2221314,,,,,{DDBD32C4-F770-4B6C-AAFA-5D09BF72F206},1058,10-052,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/932/attachments/6067
21,22,UFA10057_DECLA.pdf,5505,,application/pdf,90484,,,,,{FD083170-4615-4C9E-B57E-43FBA5B2BA94},1067,10-057,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/775/attachments/5505
22,23,UFA08002_CODEF.pdf,4497,,application/pdf,1265634,,,,,{7AF85548-9E0B-4E91-9252-B2856BF19133},1026,08-002,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/890/attachments/4497
23,24,Ams_manoo_2014.pdf,842,,application/pdf,1123516,,,,,{4BA069D5-F235-4F8D-B46E-B8497E6072D0},,09-02-572,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/1473/attachments/842
24,25,UFA10065_RML.pdf,5265,,application/pdf,23986,,,,,{76E4312F-AFDE-4DAA-8DB1-6FC50565DAF4},1090,10-065,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/796/attachments/5265
25,26,PA 2011 UFA 10-046_10-059_10-060.pdf,6854,,application/pdf,53795034,,,,,{3B33C9F2-A9E3-44D1-88C2-FAC20EB0E486},1046,10-046,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/839/attachments/6854
26,27,UFA10046_10059_10060_ESE_2008.pdf,5287,,application/pdf,630274,,,,,{F6D175AA-3785-4C05-A244-31AAAFF434DF},1046,10-046,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/839/attachments/5287
27,28,UFA10059_DECLA_2010.pdf,5024,,application/pdf,74554,,,,,{13082E32-E749-4637-8828-728B83A414A8},1046,10-059,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/820/attachments/5024
28,29,FC_BATOURI_AMS_2003.pdf,5380,,application/pdf,438787,,,,,{A1011F77-7F11-48A1-845C-9915D7BC9AE4},,Batouri,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/888/attachments/5380
29,30,UFA10041_RIE_2005.pdf,4856,,application/pdf,3727141,,,,,{7ADB36F3-71A5-463B-863C-751D09B3CA2B},1019,10-041,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/783/attachments/4856
30,31,UFA10035MARTAU.pdf,5443,,application/pdf,571525,,,,,{9E0E8BD6-5E74-4814-B5D6-27B3070D2583},1102,10-035,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/876/attachments/5443
31,32,attribution.pdf,6883,,application/pdf,37557,,,,,{36986A0C-084A-4134-ACE6-C6FF06A74955},1053,10-010,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/934/attachments/6883
32,33,FC_YOKADOUMA_PA_2006.pdf,5350,,application/pdf,3087668,,,,,{86EA0F5E-AFEA-48AE-B6D2-423ED92A4546},1478,YOKADOUMA,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/816/attachments/5350
33,34,UFA10002_CC.pdf,4848,,application/pdf,7188123,,,,,{E53E7EBD-5054-470F-AF05-2660ADD80BCB},1025,10-002,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/887/attachments/4848
34,35,UFA11009_DECLA_2015.pdf,5128,,application/pdf,898351,,,,,{50E8528B-D55E-4BC2-8ED6-BC265BB17D6A},,11-009,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/886/attachments/5128
35,36,UFA_08007DECLA_2014.pdf,6029,,application/pdf,513309,,,,,{A8342F95-22DE-4E93-ACE8-C59545DCDA97},1049,08-007,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/811/attachments/6029
36,37,Fcom_NDING NKOUOM_CP_932015.pdf,401,,application/pdf,2294675,,,,,{FD1443E0-FD97-4699-A7D3-76FFEA8E0122},,10-04-585,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/2643/attachments/401
37,38,AMS_gic Avab_2012.pdf,854,,application/pdf,1198801,,,,,{68EF24D0-B048-4804-8CFC-428F4B540DF8},,10-02-534,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/1802/attachments/854
38,39,FC_EBOLOWAII_APU_CLA_2014.pdf,5398,,application/pdf,571158,,,,,{CBEDF451-EFBA-4D09-B71D-0855E41837D6},1502,EBOLOWA1-EBOLOWA2-AKOM2,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/846/attachments/5398
39,40,UFA10035_AGPF.pdf,5476,,application/pdf,520055,,,,,{6B21B080-8CEF-4790-B7B0-F4CB9E0BB2A6},1102,10-035,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/876/attachments/5476
40,41,Arrêté N° 0029 du 21 04 2015 SOBOCA.pdf,3626,,application/pdf,3029693,,,,,{F03D8012-BC09-48C0-A30E-7B04129126DE},,0904405,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/4/837/attachments/3626
41,42,GIC ESSAMESSES SOLIDARITE AMS 2015.pdf,883,,application/pdf,882413,,,,,{65B8F4C2-5136-475C-BA2C-321A56B36F76},,09-01-495,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/1562/attachments/883
42,43,UFA10023_RIA_2001.pdf,4816,,application/pdf,1213787,,,,,{2EE60B7F-4DBB-4B74-A063-479D6BC34E3E},1007,10-023,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/873/attachments/4816
43,44,Arreté VC 11 02 18 KIEFFER.pdf,2819,,application/pdf,2740625,,,,,{EA269D4A-E441-4634-951E-8B8F776B6337},,110218,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/4/4165/attachments/2819
44,45,UFA09018_ACCF.pdf,5861,,application/pdf,254942,,,,,{BFDF7DF5-6C54-4C27-BE79-6F99B3AE7A0A},1050,09-018,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/798/attachments/5861
45,46,VC 08 01 245.pdf,3224,,application/pdf,3138495,,,,,{2C3BECE0-5D34-4BC8-8173-8BD16F4CE61E},,0801245,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/4/4183/attachments/3224
46,47,FC_GARI_GOMBO_PA_2009.pdf,5108,,application/pdf,5638126,,,,,{CA4B62DE-D0B6-4122-A5D6-EB7738E5A174},1476,GARI NGOMBO,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/927/attachments/5108
47,48,UFA09025_PGQ_2004.pdf,4895,,application/pdf,1411979,,,,,{075FFC3B-3995-4216-BE58-E3CF86BCDCFA},1011,09-025,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/849/attachments/4895
48,49,ASS AVANCONS NOUS DE BANDEKOK AMS_2017.pdf,1246,,application/pdf,809004,,,,,{57A73E20-B097-4A5E-9282-C90D7425C563},,10-01,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/4272/attachments/1246
49,50,UFA07002_ROI.pdf,4575,,application/pdf,39777,,,,,{12789450-EC21-4768-B363-AB2C9EE4024F},1027,07-002,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/869/attachments/4575
50,51,UFA10055_APU_CLA.pdf,5172,,application/pdf,398100,,,,,{595FB289-D5B4-42EA-A721-EE6CD9ACB834},1071,10-055,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/898/attachments/5172
51,52,UFA10021_PA_2005.pdf,5002,,application/pdf,3683735,,,,,{6DC33D08-54EB-40E6-874C-9E0CBCEC12E6},1018,10-021,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/848/attachments/5002
52,53,FC_DZENG_DECLA_2010.pdf,5365,,application/pdf,2202240,,,,,{ACC338D2-E25B-47CB-8423-A2115DF5049D},1481,DZENG,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/917/attachments/5365
